Purchase_date,Customer_ID,Title,Item_Price,Total_Amount,Quantity,Category,Book_Age,Author,google_rating,google_ratings_count,google_page_count,google_categories,google_description
2019-07-10T15:55:53+00:00,B07FWYVWU,English 9th class workbook Words & Expression Ncert,180.0,247.0,1,School,5,Unknown Author,0.0,0,259,Study Aids,"Description of the product: • 100% Updated with Latest Syllabus & Fully Solved Board Paper • Crisp Revision with Topic wise Revision Notes, Mind Maps & Mnemonics • Extensive Practice with 2000+ Questions & 2 Practice Papers • Concept Clarity with 1000+concepts, Smart Mind Maps & Mnemonics • Final Boost with 50+ concept videos • 100% Exam Readiness with Competency Based Questions"
2019-07-10T15:56:31+00:00,B07FWXSTU,Accountancy Financial Accounting Part - 1 Textbook for Class - 11- 11110,220.0,287.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T15:56:31+00:00,B07FWXSTU,Accountancy Financial Accounting Part - 1 Textbook for Class - 11- 11110,220.0,287.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T16:25:45+00:00,B07FWWYXY,Bal RamKatha - TextBook in Hindi for Class - 6  - 645,155.0,222.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T16:25:45+00:00,B07FWWYXY,Bal RamKatha - TextBook in Hindi for Class - 6  - 645,155.0,222.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T16:42:23+00:00,B07FWXZZU,Accountancy Financial Accounting Part - 1 Textbook for Class - 11- 11110,220.0,287.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T16:42:23+00:00,B07FWXZZU,Accountancy Financial Accounting Part - 1 Textbook for Class - 11- 11110,220.0,287.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T16:48:43+00:00,B07FWYWUZ,Accountancy Financial Accounting Part - 1 Textbook for Class - 11- 11110,220.0,287.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T16:48:43+00:00,B07FWYWUZ,Accountancy Financial Accounting Part - 1 Textbook for Class - 11- 11110,220.0,287.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T16:50:30+00:00,B07FWVZXQ,Accountancy Financial Accounting Part - 1 Textbook for Class - 11- 11110,220.0,287.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-10T16:50:30+00:00,B07FWVZXQ,Accountancy Financial Accounting Part - 1 Textbook for Class - 11- 11110,220.0,287.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
